"Incident ID","Incident Date",State,"City Or County",Address,"# Killed","# Injured",Operations
1993169,"April 30, 2021",California,Coachella,"84914 Bagdad Ave",1,0,N/A
1991897,"April 30, 2021",Missouri,"Kansas City","Olive St and E 8th St",2,0,N/A
1992273,"April 30, 2021",Louisiana,Ruston,N/A,1,0,N/A
1991632,"April 30, 2021",Louisiana,"New Orleans (Algiers)","1100 block of Verret St",1,0,N/A
1993951,"April 30, 2021",Texas,Houston,"5723 Bingle Rd",1,0,N/A
1993938,"April 30, 2021",Texas,"Fort Worth","3200 block of Bourine St",1,0,N/A
1992402,"April 30, 2021",Nevada,"Las Vegas","5712 Missouri Ave",1,1,N/A
1994791,"April 30, 2021",California,"Los Angeles","6600 block of Holmes Ave",1,0,N/A
1993002,"April 30, 2021","New York",Buffalo,"50 block of Lombard St",1,0,N/A
1991821,"April 30, 2021",Oklahoma,Ardmore,"709 Grand Ave",1,0,N/A
1991306,"April 30, 2021",Illinois,Chicago,"8000 block of S Ingleside Ave",2,0,N/A
1991688,"April 30, 2021",Alabama,"Hazel Green","Butter and Egg Rd",1,0,N/A
1991982,"April 30, 2021",Georgia,Decatur,"2075 Candler Rd",1,0,N/A
2101460,"April 30, 2021",Florida,"Lake Worth","S M St",1,0,N/A
1998460,"April 30, 2021","New Mexico",Espanola,"903 Santa Cruz Rd",1,0,N/A
1991959,"April 30, 2021",Missouri,"Saint Louis","1624 Northwinds Estates Dr",1,0,N/A
1992117,"April 30, 2021","District of Columbia",Washington,"1100 block of 4th St SW",1,0,N/A
1991651,"April 30, 2021",Pennsylvania,Philadelphia,"1800 block of Mohican St",1,0,N/A
1999878,"April 30, 2021",Pennsylvania,Philadelphia,"2700 block of Ridge Ave",1,0,N/A
1991911,"April 30, 2021",Florida,Hialeah,"845 E Okeechobee Rd",1,1,N/A
1991742,"April 30, 2021",Michigan,Detroit,"Goethe St and Harding St",1,0,N/A
1991707,"April 30, 2021",Mississippi,Greenville,"1400 block of Ollie Cir",1,0,N/A
1991446,"April 30, 2021",Nevada,Reno,"200 block of Grove St",1,0,N/A
1992276,"April 30, 2021",Pennsylvania,Cambria,"Fairlane Rd",1,0,N/A
1991678,"April 30, 2021","New Jersey",Burlington,"400 block of Saint Mary St",1,1,N/A
1991383,"April 30, 2021",Wisconsin,Milwaukee,"3416 N Teutonia Ave",1,0,N/A
1992366,"April 30, 2021",Alabama,Selma,"11 Dallas Ave",1,0,N/A
1991610,"April 30, 2021",Georgia,Bonaire,"105 SR 96 West",1,0,N/A
1990806,"April 29, 2021",Alabama,Dothan,"700 block of Alabama Ave",1,0,N/A
1991508,"April 29, 2021","New Jersey",Trenton,"400 block of N Clinton Ave",1,0,N/A
1990735,"April 29, 2021",Mississippi,Jackson,"995 S West St",1,1,N/A
1990417,"April 29, 2021",California,"Yuba City","Allen Dr and Anthony Way",1,0,N/A
1991182,"April 29, 2021",California,"Palmdale (Lake Los Angeles)","39400 block of 167th Street East",1,0,N/A
1991097,"April 29, 2021",Arizona,Tucson,"55 N 5th Ave",1,0,N/A
1990532,"April 29, 2021","New York",Brooklyn,"1256 E 21st Street",1,0,N/A
1990678,"April 29, 2021",Florida,Tampa,"E Columbus Dr and N 24th St",1,0,N/A
1990827,"April 29, 2021",Louisiana,"Baton Rouge","Gayosa St and N 26th St",1,0,N/A
1991653,"April 29, 2021",Alabama,Birmingham,"512 10th Ave W",2,0,N/A
1990606,"April 29, 2021",Florida,Miami,"NW 20th St and NW 24th Ave",1,0,N/A
1990680,"April 29, 2021",California,"San Francisco","6th St and Market St",1,2,N/A
1991476,"April 29, 2021",California,Sacramento,"3600 block of 5th Ave",1,0,N/A
1991471,"April 29, 2021",California,Sacramento,"4900 block of College Oak Dr",1,0,N/A
1990327,"April 29, 2021",Georgia,Macon,"6205 Zebulon Rd",1,0,N/A
1991367,"April 29, 2021",Texas,Houston,"3322 Yellowstone Blvd",1,0,N/A
1991314,"April 29, 2021",Texas,Austin,"2022 E Slaughter Ln",1,0,N/A
1990494,"April 29, 2021",Missouri,Springfield,"2200 block of N Kellett Ave",1,0,N/A
1991062,"April 29, 2021",Florida,Tallahassee,"1000 Basin St",1,1,N/A
1990337,"April 29, 2021",Texas,Beaumont,"2500 block of McFaddin Ave",1,0,N/A
1991646,"April 29, 2021",Pennsylvania,"Cogan Station","3605 Lycoming Creek Rd",1,0,N/A
1990993,"April 29, 2021",Texas,Houston,"7575 Plum Creek Dr",1,0,N/A
1990651,"April 29, 2021",Maryland,Baltimore,"200 block of N Hilton St",1,0,N/A
1991606,"April 29, 2021",Ohio,Lorain,"2400 block of E 29th St",1,0,N/A
1990657,"April 29, 2021",Maryland,Baltimore,"2700 block of Riggs Ave",1,0,N/A
1991172,"April 29, 2021",California,"Compton (Rancho Dominguez)","2600 block of Victoria St",1,0,N/A
1991268,"April 29, 2021","New York",Bronx,"1229 Franklin Ave",1,0,N/A
1990529,"April 29, 2021",Iowa,"Sioux City","2500 block of S Mulberry St",2,0,N/A
1990310,"April 29, 2021",Arkansas,Fayetteville,"702 N Daisy Ln",1,0,N/A
1990862,"April 29, 2021",Pennsylvania,Philadelphia,"3500 block of Emerald St",1,1,N/A
1991525,"April 29, 2021",Pennsylvania,Philadelphia,"5600 block of Wyalusing Ave",1,0,N/A
1991290,"April 29, 2021",California,Oxnard,"200 block of James Ave",1,0,N/A
1991195,"April 29, 2021","North Carolina",Laurinburg,"Isabelle St",1,0,N/A
1990821,"April 29, 2021",Georgia,Atlanta,"2300 block of Polar Rock Terrace SW",1,5,N/A
1991102,"April 29, 2021",Georgia,Atlanta,"Chappell Rd NW and Akridge St NW",1,0,N/A
1991079,"April 29, 2021",Missouri,"Saint Peters","3000 block of Mid Rivers Mall Dr",1,1,N/A
1990684,"April 29, 2021",Florida,Tampa,"2306 W Kennedy Blvd",1,0,N/A
1990281,"April 29, 2021",Michigan,Flint,"2900 block of Prospect St",1,0,N/A
1990184,"April 29, 2021",Missouri,"Kansas City","7575 Monroe Ave",1,0,N/A
1990957,"April 29, 2021",Washington,Spokane,"4750 N Division St",1,0,N/A
1997269,"April 29, 2021","West Virginia","Charleston (Sissonville)",N/A,1,0,N/A
1990916,"April 29, 2021","North Carolina",Fayetteville,"5200 block of Killdeer Dr",1,0,N/A
1994261,"April 29, 2021",Florida,"Port Richey","12200 Hudson Ridge Dr",1,0,N/A
1990872,"April 29, 2021",Pennsylvania,"Wilkes Barre","271 S Washington St",1,0,N/A
1990589,"April 29, 2021",Kentucky,Clearfield,"Dawson Way",1,1,N/A
2311375,"April 29, 2021",Michigan,"Highland Park","Rosa Parks Blvd and North Ave",1,1,N/A
1991615,"April 29, 2021","North Carolina",Statesville,"4th St and Newbern Ave",1,0,N/A
1990575,"April 29, 2021",Virginia,"Colonial Heights","400 block of E Roslyn Rd",1,0,N/A
1991608,"April 29, 2021",Ohio,Cleveland,"10000 block of Kennedy Ave",1,0,N/A
1991617,"April 29, 2021",Ohio,Pataskala,"4700 block of Summit Rd",1,0,N/A
1990803,"April 29, 2021",Alabama,Mobile,"500 block of Dauphin Island Pkwy",1,0,N/A
1990641,"April 29, 2021",Louisiana,"New Orleans","12300 block of I-10 Service Rd",1,0,N/A
1991089,"April 29, 2021",Virginia,Richmond,"200 block of E Ladies Mile Rd",1,1,N/A
1991570,"April 29, 2021","New York",Buffalo,"Stevenson St",1,0,N/A
1989904,"April 28, 2021",California,Bakersfield,"300 block of Oswell St",1,0,N/A
1989942,"April 28, 2021",Ohio,Columbus,"70 S Harris Ave",1,1,N/A
1992249,"April 28, 2021",Louisiana,"Lake Charles","1000 block of N Lakeshore Dr",1,0,N/A
1989915,"April 28, 2021","North Carolina",Enfield,"700 Block of Low Ground Rd",1,0,N/A
1989530,"April 28, 2021",Texas,Denton,"I-35 and McCormick St",1,0,N/A
1990050,"April 28, 2021",Arizona,Tucson,"1755 W Valencia Rd",1,0,N/A
1989493,"April 28, 2021",Florida,"Lake Worth","127 N Dixie Hwy",1,0,N/A
1989487,"April 28, 2021","New York","Staten Island","10 Palmer Ave",1,0,N/A
1989651,"April 28, 2021",Virginia,"Newport News","943 J Clyde Morris Blvd",1,0,N/A
1990236,"April 28, 2021",Michigan,Reading,"6500 block of S Edon R",1,0,N/A
1989869,"April 28, 2021","North Carolina",Plymouth,"702 E Main St",1,0,N/A
1989697,"April 28, 2021",Florida,Miami,"NE 1st Ave and NE 82nd St",1,0,N/A
1989940,"April 28, 2021","North Carolina",Durham,"1700 block of Morehead Ave",1,0,N/A
1992891,"April 28, 2021","North Carolina",Charlotte,"4400 block of Rose Ridge Place",1,0,N/A
1989746,"April 28, 2021","New York",Watertown,"145 Clinton St",3,0,N/A
1989840,"April 28, 2021","North Carolina",Boone,"553 Hardaman Cir",5,0,N/A
1990550,"April 28, 2021",Iowa,"Iowa City","2400 block of Lakeside Dr",1,0,N/A
1989616,"April 28, 2021",Texas,Bryan,"300 block of N Ennis",1,0,N/A
1989918,"April 28, 2021",California,Antioch,"3300 block of Garrow Dr",1,0,N/A
1990163,"April 28, 2021",Texas,Houston,"11200 Bellaire Blvd",1,0,N/A
1990362,"April 28, 2021",Colorado,"Denver (Northglenn)","Claude Ct and E 120th Ave",1,0,N/A
1989541,"April 28, 2021",Texas,Dallas,"2627 Meyers St",1,1,N/A
1990029,"April 28, 2021",Pennsylvania,Philadelphia,"200 block of Delphine St",1,0,N/A
1990062,"April 28, 2021",Pennsylvania,Philadelphia,"2500 block of N Colorado St",1,0,N/A
1990155,"April 28, 2021",Texas,Houston,"11575 Bissonnet St",1,0,N/A
1990587,"April 28, 2021","New York","New York (Manhattan)","610 E 20th Street",1,0,N/A
1989406,"April 28, 2021","New Mexico",Clovis,"700 block of E 5th St",2,0,N/A
1990143,"April 28, 2021",Maryland,Bowie,"10500 block of Foxlake Dr",1,0,N/A
1990410,"April 28, 2021",Kansas,Ulysses,"200 W Santa Fe Ave",1,0,N/A
1990323,"April 28, 2021",Nevada,Reno,"2900 Clear Acre Ln",2,0,N/A
1989422,"April 28, 2021",Indiana,"South Bend","600 block of Illinois St",1,1,N/A
1990016,"April 28, 2021",Georgia,Hephzibah,"4300 Block of Aintree Rd",1,0,N/A
1990216,"April 28, 2021",Arizona,Tucson,"S Midvale Park Rd and S Oak Tree Dr",1,0,N/A
1989327,"April 28, 2021",Missouri,Independence,"500 block of S Crescent Ave",1,0,N/A
1989653,"April 28, 2021",Texas,"San Antonio","Sterling Dr and Wheatley Ave",1,0,N/A
1990136,"April 28, 2021",Illinois,Chicago,"2300 block of W Garfield Blvd",1,0,N/A
1990122,"April 28, 2021",Michigan,Detroit,"W McNichols Rd and Normandy St",1,0,N/A
1989816,"April 28, 2021","South Carolina","Fort Mill","3540 Lakemont Blvd",1,0,N/A
1990934,"April 28, 2021","South Carolina",Camden,"Lee Rd",1,0,N/A
1991659,"April 28, 2021",Alabama,Birmingham,"2901 Hunter Ridge Ct",1,0,N/A
1990535,"April 28, 2021",Tennessee,Antioch,"1157 Bell Rd",1,1,N/A
1991582,"April 28, 2021","New York",Syracuse,"1408 Midland Ave",1,0,N/A
1990064,"April 28, 2021",Alabama,Dothan,"2500 block of Scott Rd",1,0,N/A
1992872,"April 28, 2021",Michigan,Lansing,"600 block of Baker St",2,0,N/A
1990876,"April 28, 2021",Louisiana,Shreveport,"2600 block of Roosevelt Ave",1,0,N/A
1989891,"April 28, 2021",California,Bakersfield,"Haley St and Pacific St",1,0,N/A
1989732,"April 28, 2021",Kentucky,Louisville,"2200 block of Howard St",1,0,N/A
1989767,"April 28, 2021",Tennessee,Memphis,"S 3rd St and E Mitchell Rd",1,0,N/A
1990524,"April 28, 2021","New York","Corona (Queens)","Rockaway Blvd and 134th St",1,1,N/A
1990009,"April 27, 2021",Georgia,Atlanta,"2000 block of Baker Rd",1,0,N/A
1988449,"April 27, 2021",Missouri,"Saint Louis","1401 Lasalle Ln",1,0,N/A
1989998,"April 27, 2021",Ohio,Toledo,"1500 block of Ottawa Dr",1,0,N/A
1988425,"April 27, 2021",Oklahoma,Duncan,"401 N 10th St",1,0,N/A
1988252,"April 27, 2021",California,Fullerton,CA-91,3,1,N/A
1988826,"April 27, 2021",Ohio,Reynoldsburg,"Merchants Dr and Brice Rd",1,0,N/A
1990707,"April 27, 2021",Ohio,Toledo,"3415 Monroe St",1,0,N/A
2001508,"April 27, 2021",California,"San Bernardino","Baseline St and Valaria Dr",1,0,N/A
1990689,"April 27, 2021",Ohio,Zanesville,"N 6th St",1,0,N/A
1989711,"April 27, 2021",Illinois,Chicago,"8362 S Keating Ave",1,0,N/A
1989705,"April 27, 2021",Illinois,Chicago,"8304 S Sangamon St",1,0,N/A
