"Incident ID","Incident Date",State,"City Or County",Address,"# Killed","# Injured",Operations
2202718,"December 31, 2021","New Mexico",Ribera,"8 El Gasnate",1,0,N/A
2201856,"December 31, 2021","North Carolina",Durham,"1500 block of Robinhood Rd",1,0,N/A
2201429,"December 31, 2021","New York","Staten Island","1251 Bay St",1,0,N/A
2201389,"December 31, 2021",Tennessee,Knoxville,"2000 block of Countryhill Ln",1,0,N/A
2201333,"December 31, 2021",Nevada,"Las Vegas","3200 Las Vegas Blvd S",1,0,N/A
2202496,"December 31, 2021",Nevada,"Las Vegas","2411 W Sahara Ave",1,0,N/A
2201339,"December 31, 2021",California,Concord,"1 Sunvalley Mall Rd",1,0,N/A
2202272,"December 31, 2021","New Jersey",Trenton,"50 block of Beakes St",1,0,N/A
2201307,"December 31, 2021","South Carolina",Spartanburg,"7550 Asheville Hwy",1,0,N/A
2201212,"December 31, 2021",Tennessee,Memphis,"Goodhaven Dr and Grovehaven Cir",1,0,N/A
2201301,"December 31, 2021",Virginia,Portsmouth,"600 block of Dunedin Rd",1,1,N/A
2201343,"December 31, 2021",Ohio,Cleveland,"4300 block of Rocky River Dr",1,0,N/A
2201067,"December 31, 2021",California,Beaumont,"435 E 4th St",1,0,N/A
2201143,"December 31, 2021",Georgia,Atlanta,"2054 Bethel Dr NW",1,0,N/A
2202043,"December 31, 2021",Texas,"San Antonio","3855 N PanAm Expy",1,0,N/A
2201117,"December 31, 2021",Georgia,Griffin,"400 block of N 9th St",1,0,N/A
2201373,"December 31, 2021",Tennessee,Memphis,"1820 Baroness Dr",1,0,N/A
2202057,"December 31, 2021",Wisconsin,Stoughton,"336 Olson Ct",1,0,N/A
2201037,"December 31, 2021",Pennsylvania,Pittsburgh,"7500 block of Hamilton Ave",3,0,N/A
2201431,"December 31, 2021",Pennsylvania,"Marcus Hook","1439 Market St",1,1,N/A
2202353,"December 31, 2021",Nebraska,"Nebraska City","715 11th Corso",1,0,N/A
2201708,"December 31, 2021",Ohio,Canton,"121 17th St NW",1,1,N/A
2201170,"December 31, 2021",Ohio,Columbus,"400 block of S Ashburton Rd",1,0,N/A
2201805,"December 31, 2021",Massachusetts,Lawrence,"Pearl Ave",1,0,N/A
2201138,"December 31, 2021",Georgia,Atlanta,"1770 Bolton Rd NW",1,0,N/A
2203406,"December 31, 2021",Mississippi,Meridian,"1500 block of 21st  St",2,1,N/A
2201292,"December 31, 2021",Pennsylvania,Allentown,"300 block of N  9th St",1,0,N/A
2203534,"December 31, 2021",Colorado,Franktown,"CO-83 and Russellville Rd",1,0,N/A
2203618,"December 31, 2021",California,"San Francisco","200 block of Cornwall St",1,0,N/A
2201491,"December 31, 2021",California,Lancaster,"1100 Block of W Ave J-9",2,0,N/A
2201909,"December 31, 2021",Ohio,Cleveland,"Rexford Ave",1,0,N/A
2216731,"December 31, 2021",Pennsylvania,Philadelphia,"2300 block of S Bouvier St",1,0,N/A
2201547,"December 31, 2021",Texas,Houston,"13034 Orleans St",1,0,N/A
2202489,"December 31, 2021","New Mexico",Albuquerque,"1013 Maggies Ave NE",1,0,N/A
2201244,"December 31, 2021",Minnesota,Minneapolis,"2400 block of Dupont Ave N",1,1,N/A
2201009,"December 31, 2021",Florida,Malone,"10th Ave",1,0,N/A
2201518,"December 31, 2021",Texas,Humble,"124 FM1960 Business",1,0,N/A
2201780,"December 31, 2021",California,"Garden Grove","12000 block of Trask Ave",1,0,N/A
2201237,"December 31, 2021",Washington,Spanaway,"21600 block of 41st Ave E",1,0,N/A
2200960,"December 31, 2021","North Dakota",Williston,N/A,1,0,N/A
2203919,"December 31, 2021",Texas,Beaumont,"1500 block of Cartwright St",1,0,N/A
2201145,"December 31, 2021",Georgia,Douglasville,"Deering Ct",1,0,N/A
2225012,"December 31, 2021",Florida,Gainesville,"NW 31st Ave",1,0,N/A
2201700,"December 31, 2021",Missouri,"Saint Louis","N 15th St and Locust St",1,0,N/A
2203041,"December 31, 2021",Indiana,Anderson,"1700 block of Lockerbie Ct",1,0,N/A
2201617,"December 31, 2021",Illinois,Chicago,"7900 block of S Parnell Ave",1,0,N/A
2200955,"December 31, 2021",Pennsylvania,Philadelphia,"3000 block of A St",1,0,N/A
2201611,"December 31, 2021",Mississippi,Jackson,"1900 block of Corley Ave",1,0,N/A
2201607,"December 31, 2021",Louisiana,"New Orleans","7900 block of Oleander St",1,0,N/A
2202478,"December 31, 2021",Arkansas,Blytheville,"1900 block of W Chickasawba St",1,0,N/A
2201161,"December 31, 2021",Wisconsin,Milwaukee,"242 E Capitol Dr",1,0,N/A
2201605,"December 31, 2021",Louisiana,"Westwego (Avondale)","300 block of Coretta Dr",1,0,N/A
2201716,"December 31, 2021",Mississippi,Gulfport,"1200 block of Lewis Ave",4,3,N/A
2202215,"December 31, 2021",Pennsylvania,"Bala Cynwyd","20 St Asaphs Rd",1,0,N/A
2202054,"December 31, 2021","New York","White Plains","115 N Kenisco Ave",1,0,N/A
