"Incident ID","Incident Date",State,"City Or County",Address,"# Killed","# Injured",Operations
1942288,"February 28, 2021",Texas,"Fort Worth","4700 block of Veronica Cir",1,0,N/A
1942172,"February 28, 2021",Arkansas,"Forrest City","1085 Holiday Dr",1,1,N/A
1942170,"February 28, 2021",California,Fallbrook,"3800 block of Alta Vista Dr",1,0,N/A
1941020,"February 28, 2021",Kentucky,Louisville,"500 block of S 18th St",1,0,N/A
1942137,"February 28, 2021",Tennessee,Memphis,"Berkshire Ave",1,0,N/A
1941919,"February 28, 2021",Tennessee,Memphis,"3445 Barclay Ave",1,0,N/A
1941911,"February 28, 2021",Tennessee,Memphis,"743 S Pkwy E",2,0,N/A
1941202,"February 28, 2021",Texas,Houston,"9000 block of Renwick Dr",1,0,N/A
1941382,"February 28, 2021",Ohio,Cincinnati,"3600 block of Idlewild Ave",3,3,N/A
1941233,"February 28, 2021",Texas,Dallas,"12425 E NW Hwy",1,0,N/A
1941241,"February 28, 2021",Texas,Dallas,"9690 Forest Ln",1,0,N/A
1941944,"February 28, 2021",Tennessee,Murfreesboro,"2230 Armory Dr",1,0,N/A
1940707,"February 28, 2021",Illinois,Chicago,"9100 block of S Emerald Ave",1,0,N/A
1942211,"February 28, 2021",California,"Santa Maria","1800 block of Ironwood Dr",1,0,N/A
1940704,"February 28, 2021",Illinois,Chicago,"50 block of W 91st St",1,1,N/A
1940804,"February 28, 2021",Virginia,Hampton,"2109 Newton Rd",1,0,N/A
1942565,"February 28, 2021",Illinois,Chicago,"6238 S Park Shore E Ct",1,0,N/A
1941206,"February 28, 2021",Illinois,Jacksonville,"Hoagland St",1,0,N/A
1941957,"February 28, 2021",Tennessee,Nashville,"Briley Pkwy and Whites Creek Pike",1,0,N/A
1941282,"February 28, 2021",Michigan,Detroit,"19841 Schoolcraft",1,1,N/A
1941256,"February 28, 2021",Texas,"Fort Worth","1000 block of E Baltimore Ave",1,0,N/A
