"Incident ID","Incident Date",State,"City Or County",Address,"# Killed","# Injured",Operations
1919524,"January 31, 2021",Kentucky,Louisville,"I-265 and Beulah Church Rd",1,0,N/A
1917235,"January 31, 2021",Michigan,Clawson,"200 block of Nakota St",1,0,N/A
1917632,"January 31, 2021",Ohio,Cleveland,"6571 Broadway Ave",1,0,N/A
1916967,"January 31, 2021","New York",Elmira,"500 block of W 3rd St",1,1,N/A
1918717,"January 31, 2021",Texas,Amarillo,"4100 block of SE 45th Ave",1,0,N/A
1916535,"January 31, 2021",Tennessee,Antioch,"5272 Cane Ridge Rd",1,0,N/A
1925552,"January 31, 2021",Texas,Bandera,"Houston St",1,0,N/A
1917079,"January 31, 2021",Florida,Apopka,"E 17th St",1,0,N/A
1917339,"January 31, 2021","North Carolina",Wilmington,"1100 block of Campbell St",1,0,N/A
1916766,"January 31, 2021",California,Sacramento,"1200 block of Fulton Ave",1,0,N/A
1916508,"January 31, 2021",Tennessee,Chattanooga,"800 block of Dodson Ave",1,0,N/A
1916641,"January 31, 2021",Kentucky,Lexington,"121 W Vine",1,0,N/A
1917294,"January 31, 2021","North Carolina",Charlotte,"5700 Windy Valley Dr",1,0,N/A
1917603,"January 31, 2021",Texas,Garland,"555 W I-30",1,0,N/A
1916673,"January 31, 2021",California,Fresno,"4600 block of Lane Ave",2,1,N/A
1916615,"January 31, 2021",Illinois,Chicago,"4700 block of S Michigan Ave",1,0,N/A
1916473,"January 31, 2021",Ohio,Cincinnati,"129 Glenridge Pl",1,0,N/A
1916857,"January 31, 2021",Alabama,Huntsville,"3913 Talwell Dr SW",1,0,N/A
1917411,"January 31, 2021",Illinois,"Barrington (Inverness)","200 block of Bradwell Rd",1,0,N/A
1918467,"January 31, 2021",Virginia,Richmond,"1500 block of Mechanicsville Turnpike",1,0,N/A
1916440,"January 31, 2021",Maryland,Baltimore,"4900 block of Herring Run Dr",1,0,N/A
1917319,"January 31, 2021","New Mexico",Albuquerque,"Atrisco Dr SW and Bridge Blvd SW",1,0,N/A
1916863,"January 31, 2021",Texas,Houston,"4400 S Loop E Fwy",1,0,N/A
1916923,"January 31, 2021",Texas,"Fort Worth","6601 Brentwood Stair Rd",1,0,N/A
1917501,"January 31, 2021",Pennsylvania,"New Oxford (Hampton)","17 Fawn Ave",2,0,N/A
1917232,"January 31, 2021",Arizona,Phoenix,"3333 W Dunlap Ave",1,0,N/A
1917325,"January 31, 2021","North Carolina","La Grange","Pauls Path Rd",1,0,N/A
