"Incident ID","Incident Date",State,"City Or County",Address,"# Killed","# Injured",Operations
2049936,"June 30, 2021",California,Bakersfield,"3850 Q St",1,0,N/A
2049438,"June 30, 2021",Ohio,Columbus,"3464 Sullivant Ave",1,0,N/A
2050110,"June 30, 2021",Louisiana,"New Orleans","Tchoupitoulas St and US-90 BUS",1,0,N/A
2050324,"June 30, 2021",California,Vallejo,"100 block of Violet Dr",1,0,N/A
2049551,"June 30, 2021",Kentucky,Florence,"Garden Dr and Patty Ln",1,0,N/A
2049845,"June 30, 2021",Texas,Houston,"12101 Fondren Rd",3,1,N/A
2049355,"June 30, 2021",Louisiana,Crowley,"McCain Rd and Goodrich Rd",2,0,N/A
2048848,"June 30, 2021",Nevada,"Las Vegas","4500 block of Sonoma Sunset Ct",1,0,N/A
2049559,"June 30, 2021",Minnesota,Minneapolis,"1614 Plymouth Ave N",1,0,N/A
2049428,"June 30, 2021",California,Sacramento,"230 Cadillac Dr",1,1,N/A
2064749,"June 30, 2021",California,"Los Angeles","Rinaldi St and Stranwood Ave",1,0,N/A
2071079,"June 30, 2021",Tennessee,Chattanooga,"830 Dodson Ave",1,0,N/A
2050094,"June 30, 2021",Louisiana,Clinton,"5800 block of Winchester Ln",1,0,N/A
2049173,"June 30, 2021",Kentucky,London,"Hal Rogers Pkwy and Glendas Ln",1,0,N/A
2048980,"June 30, 2021",Georgia,Atlanta,"710 Peachtree St NE",1,2,N/A
2145479,"June 30, 2021",Georgia,Dublin,"Penn Ave",1,0,N/A
2049013,"June 30, 2021",Wisconsin,"Rhinelander (Pelican)","River Bend Rd and US-8",1,0,N/A
2048999,"June 30, 2021",Texas,"San Antonio","9401 N I-35",1,0,N/A
2050055,"June 30, 2021",Florida,Tampa,"4200 Kenneth Ct",1,0,N/A
2049132,"June 30, 2021","North Carolina",Lenoir,"1226 Laurel Pl NW",4,0,N/A
2049011,"June 30, 2021",Texas,Tyler,"3200 block of Omega Dr",1,0,N/A
2048985,"June 30, 2021",Texas,"San Antonio","8446 Country Village St",1,0,N/A
2050068,"June 30, 2021",Indiana,"Mc Cordsville (Mccordsville)","6700 block of W Stansbury Blvd",1,0,N/A
2050433,"June 30, 2021",Missouri,"Saint Louis (Jennings)","5400 block of Hamilton Ave",1,0,N/A
2056746,"June 30, 2021",Colorado,Cortez,US-160,1,0,N/A
2049947,"June 30, 2021",California,Oakland,"1400 block of 90th Ave",1,1,N/A
2050550,"June 30, 2021","North Carolina",Dudley,"199 Pearsall Ln",1,0,N/A
2050802,"June 30, 2021",Maine,"Jefferson (Somerville)","1041 Rockland Rd",1,0,N/A
2049891,"June 30, 2021",Texas,"Wichita Falls","Taylor St and Ave L",1,0,N/A
2048843,"June 30, 2021","District of Columbia",Washington,"6000 block of Eads St NE",1,0,N/A
2050167,"June 30, 2021",Delaware,Dover,"100 block of S New St",1,3,N/A
2049808,"June 30, 2021",Connecticut,Bridgeport,"978 Howard Ave",1,0,N/A
2048883,"June 30, 2021",Utah,"Ogden (South Ogden)","4526 S 750 E",1,0,N/A
2050567,"June 30, 2021","South Carolina","Saint Matthews (St Matthews)","Burke Rd",1,0,N/A
2065201,"June 30, 2021",Ohio,Cleveland,"Dickens Ave and E 93rd St",1,0,N/A
2081378,"June 30, 2021",Michigan,Detroit,"12100 block of Schaefer Hwy",2,0,N/A
2050522,"June 30, 2021",Wisconsin,Milwaukee,"1535 N 29th St",1,0,N/A
2050045,"June 30, 2021",Mississippi,Jackson,"3100 block of Terry Rd",1,0,N/A
2050250,"June 30, 2021",Michigan,Kalamazoo,"5700 block of Higgins St",2,0,N/A
2048570,"June 29, 2021",Louisiana,"Ville Platte","900 block of Edward Knotoe Jr St",1,0,N/A
2050365,"June 29, 2021","New York",Ellenville,"20 Berme Rd",1,0,N/A
2202917,"June 29, 2021",California,Bakersfield,"1300 Curnow Rd",1,0,N/A
2049471,"June 29, 2021",California,"San Diego","6900 block of Eastman St",1,0,N/A
2049739,"June 29, 2021",Alabama,Birmingham,"7700 block of Sunrise Dr",1,0,N/A
2048595,"June 29, 2021",Alabama,Mobile,"506 Williams St",1,1,N/A
2048115,"June 29, 2021",Maryland,Baltimore,"100 block of S Franklintown Rd",1,0,N/A
2049312,"June 29, 2021",Nebraska,Bayard,"123 2nd Ave",1,0,N/A
