"Incident ID","Incident Date",State,"City Or County",Address,"# Killed","# Injured",Operations
1965972,"March 31, 2021",Kansas,"Kansas City","6400 block of Farrow Ave",1,0,N/A
1966526,"March 31, 2021",California,Indio,"83597 Indio Blvd",1,0,N/A
1966152,"March 31, 2021",Indiana,Indianapolis,"700 block of N Goodlet Ave",1,0,N/A
1966140,"March 31, 2021",Illinois,Chicago,"100 block of N Lotus Ave",1,0,N/A
1966709,"March 31, 2021",Georgia,Atlanta,"1689 Langston Ave SW",1,0,N/A
1965907,"March 31, 2021",Illinois,Chicago,"5516 W Corcoran Pl",1,0,N/A
1966755,"March 31, 2021",Ohio,Cleveland,"13000 block of Crennell Ave",1,0,N/A
1966808,"March 31, 2021",Maryland,"Owings Mills","100 block of Willow Bend Dr",1,0,N/A
1966065,"March 31, 2021",California,Sacramento,"Plaza Ave and Traction Ave",1,0,N/A
1966568,"March 31, 2021",California,"El Sobrante","4500 block of Appian Way",1,1,N/A
1966094,"March 31, 2021",Illinois,Chicago,"6000 block of S Artesian Ave",1,0,N/A
1966969,"March 31, 2021","North Carolina",Charlotte,"7900 block of Oak Meadow Ct",1,1,N/A
1966033,"March 31, 2021",California,Visalia,"1200 block of N Conyer St",1,0,N/A
1966181,"March 31, 2021",California,Orange,"202 West Lincoln Ave",4,2,N/A
1966316,"March 31, 2021",Kentucky,Louisville,"400 block of N 21st St",1,1,N/A
1966616,"March 31, 2021",Texas,Austin,"9715 N FM 620",1,0,N/A
1966220,"March 31, 2021",Kentucky,Louisville,"1600 block of Wilson Ave",1,1,N/A
1966027,"March 31, 2021",California,Oakland,"600 block of 53rd St",1,0,N/A
1966692,"March 31, 2021",Florida,Orlando,"3100 block of W Central Blvd",1,0,N/A
1966684,"March 31, 2021",Florida,Orlando,"900 block of Bentley St",1,0,N/A
1974043,"March 31, 2021",Arkansas,Jonesboro,"700 block of Strawn Ave",1,0,N/A
1968678,"March 31, 2021",Florida,Hudson,N/A,1,0,N/A
1973620,"March 31, 2021",Mississippi,Lake,"Old Sawmill Rd",1,0,N/A
1967371,"March 31, 2021",Iowa,"Mason City","3rd St NW and N Jefferson Ave",1,0,N/A
1966218,"March 31, 2021",Illinois,Joliet,"200 block of Illinois St",1,0,N/A
1967996,"March 31, 2021",California,"King City","Broadway Circle and River Dr",1,0,N/A
1966424,"March 31, 2021","New Hampshire",Claremont,"247 Sullivan St",1,0,N/A
1966511,"March 31, 2021",Michigan,Lansing,"Burneway Dr and Seaway Dr",1,0,N/A
1967336,"March 31, 2021",Florida,"Panama City (Southport)","9020 Ronnie Rd",1,0,N/A
1966547,"March 31, 2021",California,Palmdale,"100 block of Palmdale Blvd",1,0,N/A
1966542,"March 31, 2021",California,Compton,"600 block of W Corregidor St",1,0,N/A
1966472,"March 31, 2021",Michigan,Flint,"4000 block of Milbourne Ave",1,0,N/A
1965886,"March 31, 2021",Wisconsin,Milwaukee,"3100 block of N 25th St",1,0,N/A
1966793,"March 31, 2021",Maryland,Rosedale,"5500 block of Lanham Way",2,1,N/A
1966430,"March 31, 2021",Indiana,Indianapolis,"1300 N Oxford St",1,2,N/A
1966415,"March 31, 2021",Missouri,Independence,"E 8th St and S Carlisle Ave",1,1,N/A
1965813,"March 31, 2021",Georgia,Lithonia,"Pine Mountain Rd",2,0,N/A
1967083,"March 31, 2021",Texas,Lubbock,"1305 65th Dr",1,0,N/A
1966766,"March 31, 2021",Delaware,Milford,"Sandbox Rd and Milford Harrington Hwy",1,0,N/A
1965761,"March 31, 2021",Florida,Miami,"5201 NW 27th Ave",1,0,N/A
1996775,"March 31, 2021",Florida,Englewood,"Euler Ave",1,0,N/A
1965932,"March 31, 2021",Illinois,Chicago,"5200 block of W Eddy St",1,0,N/A
1965890,"March 31, 2021","District of Columbia",Washington,"1300 block of Congress St SE",2,3,N/A
1966344,"March 31, 2021",Oregon,Portland,"1931 N Lombard St",1,0,N/A
1966989,"March 31, 2021","North Carolina",Greenville,"1100 block of Van Dyke St",1,0,N/A
1966980,"March 31, 2021",Louisiana,Shreveport,"2200 block of Marion St",1,0,N/A
