"Incident ID","Incident Date",State,"City Or County",Address,"# Killed","# Injured",Operations
2022111,"May 31, 2021",Alabama,Montgomery,"500 block of Karen Rd",1,0,N/A
2021645,"May 31, 2021",Tennessee,Murfreesboro,"1600 block of Leaf Ave",1,0,N/A
2021335,"May 31, 2021",Missouri,"Saint Louis","5900 block of Romaine Pl",1,0,N/A
2022142,"May 31, 2021",Ohio,Columbus,"1288 Sigsbee Ave",1,1,N/A
2021247,"May 31, 2021",Louisiana,"Baton Rouge","2225 College Dr",3,0,N/A
2024953,"May 31, 2021","North Carolina",Huntersville,"Caldwell Station Rd and Old Statesville Rd",4,0,N/A
2021224,"May 31, 2021",Arizona,Tucson,"109 W Prince Rd",1,0,N/A
2021855,"May 31, 2021",Texas,Houston,"4714 Paradise Ln",1,0,N/A
2021450,"May 31, 2021",Florida,Orlando,"4398 W Colonial Dr",1,0,N/A
2022939,"May 31, 2021",Texas,"Texas City","6106 FM 1765",1,0,N/A
2021263,"May 31, 2021",California,Bakersfield,"4600 block of Parkwood Court",2,0,N/A
2022063,"May 31, 2021",California,"San Jose","1100 block of Tofts Dr",1,0,N/A
2022460,"May 31, 2021",Florida,Okeechobee,N/A,1,0,N/A
2021152,"May 31, 2021",California,"Yucca Valley","Dumosa Ave and Sunnyslope Dr",2,0,N/A
2021093,"May 31, 2021",Kentucky,Louisville,"438 N 28th St",1,0,N/A
2021703,"May 31, 2021",Virginia,Portsmouth,"1400 block of Crawford Pkwy",1,0,N/A
2021657,"May 31, 2021",Georgia,Atlanta,"195 Fairburn Rd NW",1,1,N/A
2021690,"May 31, 2021",Virginia,"Madison Heights","Sprouse Dr and Jeffery Loop",1,0,N/A
2021516,"May 31, 2021","New York","New York (Manhattan)","E 123rd St and Lexington Ave",1,1,N/A
2021900,"May 31, 2021","North Carolina",Gastonia,"E Ozark Ave",1,0,N/A
2020632,"May 31, 2021",Texas,Dallas,"723 N Pearl St",1,0,N/A
2022707,"May 31, 2021",Texas,"Cedar Hill","1500 block of Allen Dr",1,0,N/A
2025683,"May 31, 2021",Minnesota,"Saint Cloud","1400 block of 12th Ave N",1,0,N/A
2026535,"May 31, 2021",Ohio,Zanesville,"1367 Maysville Ave",1,0,N/A
2128541,"May 31, 2021",Connecticut,Hartford,"152 Amherst St",1,0,N/A
2022767,"May 31, 2021",Nevada,"Boulder City","Fairway Dr and Pueblo Dr",1,0,N/A
2020764,"May 31, 2021",Texas,Houston,"1350 Greens Pkwy",1,0,N/A
2021722,"May 31, 2021","District of Columbia",Washington,"1400 block of L St SE",1,0,N/A
2020960,"May 31, 2021",California,"San Jose","W Virginia St and Prevost St",1,0,N/A
2020988,"May 31, 2021",Pennsylvania,Philadelphia,"500 block of N 16th St",2,0,N/A
2020807,"May 31, 2021",California,"Los Angeles","6600 block of Makee Ave",2,1,N/A
2020846,"May 31, 2021","North Carolina",Charlotte,"5500 block of Twin Brook Dr",1,0,N/A
2035506,"May 31, 2021",Texas,Austin,"2511 Greenland Ln",2,0,N/A
2021613,"May 31, 2021",Illinois,Cicero,"23rd St and 55th Ave",1,0,N/A
2021603,"May 31, 2021",Florida,"Tampa (Carrollwood)","11000 block of Cypress Park St",1,0,N/A
2020566,"May 31, 2021",Texas,Houston,"2301 Main St",2,2,N/A
2021610,"May 31, 2021",Illinois,Chicago,"700 block of N Spaulding Ave",1,0,N/A
2023643,"May 31, 2021",Arizona,Miami,"S Adonis Ave and Live Oak St",1,0,N/A
2020794,"May 31, 2021",Michigan,Detroit,"7600 block of Holmes St",1,0,N/A
2021560,"May 31, 2021",California,"Los Angeles","1300 block of Slauson Ave",1,1,N/A
2021439,"May 31, 2021",Florida,"Miami (North Miami)","12705 NW 10th Ave",1,1,N/A
2022436,"May 31, 2021",Texas,Pflugerville,"2801 Halite Bend",1,0,N/A
2023452,"May 31, 2021",Idaho,"Coeur D Alene (Coeur D'alene)","23rd St and Coeur d'Alene Ave",1,0,N/A
2021501,"May 31, 2021",Mississippi,Pascagoula,"Dunham St",1,0,N/A
2022138,"May 31, 2021",Iowa,"Salix (Luton)","1932 250th St",1,1,N/A
2020730,"May 31, 2021",Arizona,Phoenix,"N 31st Ave and W Van Buren St",1,0,N/A
2021567,"May 31, 2021",California,Maywood,"6100 block of Wilcox Ave",1,0,N/A
2021356,"May 31, 2021",Wisconsin,Milwaukee,"1919 W Fond Du Lac Ave",1,0,N/A
2022489,"May 31, 2021",Arizona,Tucson,"400 block of W Ohio St",1,0,N/A
2021418,"May 31, 2021",Florida,Miami,"3101 N Miami Ave",1,1,N/A
2021369,"May 31, 2021",Connecticut,Hartford,"100 block of Amherst St",1,0,N/A
2020625,"May 31, 2021",Missouri,"Kansas City","37th Terr and Montgall Ave",1,0,N/A
2021240,"May 31, 2021",Missouri,"Saint Louis","2800 block of Blackforest Dr",1,0,N/A
2021389,"May 31, 2021",Wisconsin,Milwaukee,"1700 block of W Forest Home Ave",1,0,N/A
2022418,"May 31, 2021",Texas,Fredericksburg,"1500 block of S US Hwy 87",1,1,N/A
2021776,"May 31, 2021",Maryland,Baltimore,"1900 block of W Fayette St",1,0,N/A
2021347,"May 31, 2021",Washington,Vancouver,"200 block of E 27th St",1,0,N/A
