"Incident ID","Incident Date",State,"City Or County",Address,"# Killed","# Injured",Operations
2180390,"November 30, 2021",Missouri,"Kansas City (Raytown)","74th St and Raytown Rd",1,0,N/A
2179064,"November 30, 2021",Indiana,Rushville,"1877 N Main St",2,0,N/A
2178893,"November 30, 2021","South Carolina",Columbia,"1401 Longcreek Dr",1,0,N/A
2179693,"November 30, 2021",California,Whittier,"11900 Leland Ave",1,0,N/A
2178907,"November 30, 2021",Virginia,Richmond,"4000 Midlothian Turnpike",1,0,N/A
2179120,"November 30, 2021",Pennsylvania,Philadelphia,"5400 block of Sansom St",1,0,N/A
2179637,"November 30, 2021",California,Fresno,"Ashlan Ave and N Marks Ave",1,0,N/A
2178855,"November 30, 2021",Maryland,"Silver Spring","12300 Treetop Dr",1,0,N/A
2180969,"November 30, 2021",California,Hayward,"31000 block of Trevor Ave",1,0,N/A
2263059,"November 30, 2021",Ohio,Lima,"420 S Baxter St",1,0,N/A
2179386,"November 30, 2021",Maryland,Elkton,"321 North St",1,0,N/A
2179254,"November 30, 2021",Louisiana,"Baton Rouge","2632 Eaton St",1,0,N/A
2178487,"November 30, 2021",Michigan,Oxford,"745 N Oxford Rd",4,7,N/A
2179844,"November 30, 2021",Arizona,Tucson,"2500 block of E Menor Stravenue",1,0,N/A
2179535,"November 30, 2021",Mississippi,Laurel,"800 block of E 18th St",1,1,N/A
2178767,"November 30, 2021",Arizona,Phoenix,"2909 N 61st Ave",2,1,N/A
2179877,"November 30, 2021",Delaware,Wilmington,"800 block of Kirkwood St",1,0,N/A
2179517,"November 30, 2021",Texas,Taylor,"616 Symes St",4,0,N/A
2179099,"November 30, 2021",Georgia,Rex,"3600 block of Jervis Court",4,2,N/A
2178347,"November 30, 2021",Michigan,Lansing,"4019 S Martin Luther King Jr Blvd",1,0,N/A
2178901,"November 30, 2021",Virginia,Covington,"1600 block of E Dolly Ann Dr",1,0,N/A
2179471,"November 30, 2021",Texas,Boyd,"2540 E State Hwy 114",1,0,N/A
2178807,"November 30, 2021",Florida,Weirsdale,"15000 block of SE 180th St",1,0,N/A
2179382,"November 30, 2021",Florida,"Port Saint Lucie","11200 block of SW Stockton Pl",1,0,N/A
2180411,"November 30, 2021",Pennsylvania,Philadelphia,"2100 block of Lambert St",1,0,N/A
2278428,"November 30, 2021",Texas,Houston,"7200 block of Ave N",1,0,N/A
2179930,"November 30, 2021",Indiana,Indianapolis,"3300 block of Heather Ridge Dr",1,0,N/A
2179416,"November 30, 2021",Texas,Dallas,"2880 Peavy Rd",1,0,N/A
2179407,"November 30, 2021",Texas,Taylor,"2100 block of Whistling Way",1,0,N/A
2183980,"November 30, 2021",Oregon,Drain,"OR-38 and Putnam Valley Rd",1,0,N/A
2179271,"November 30, 2021",Alabama,Birmingham,"2900 block of 27th St N",1,0,N/A
2182507,"November 30, 2021",California,Whittier,"13700 block of Valna Dr",1,0,N/A
2179248,"November 30, 2021",Louisiana,"New Orleans","3800 block of Washington Ave",1,0,N/A
2179189,"November 30, 2021",Tennessee,Humboldt,"2600 Viking Dr",2,1,N/A
2179220,"November 30, 2021",Missouri,"Saint Louis","7851 Bandero Dr",1,0,N/A
2180935,"November 30, 2021",Virginia,Jarratt,"S Braxton Ave and Mayes St",1,0,N/A
2180852,"November 30, 2021",Tennessee,Murfreesboro,"1421 Old Lascassas Rd",1,0,N/A
2180155,"November 30, 2021","North Carolina",Burlington,"100 block of James Dr",1,0,N/A
2178020,"November 29, 2021",California,Lompoc,"200 block of S 3rd St",1,0,N/A
2179155,"November 29, 2021",California,Adelanto,"10700 block of Euclid St",1,0,N/A
2177752,"November 29, 2021","North Carolina",Greensboro,"600 Block of College Rd",1,0,N/A
2179127,"November 29, 2021",California,"Oak Run","Zig Zag Lane",2,0,N/A
2178695,"November 29, 2021",Indiana,"Fort Wayne","7118 W Cook Rd",4,0,N/A
2178515,"November 29, 2021",California,"Los Angeles","1400 block of E 90th St",1,0,N/A
2177643,"November 29, 2021",Louisiana,"New Orleans","9700 block of Chef Menteur Hwy",1,0,N/A
2178988,"November 29, 2021","North Carolina",Fayetteville,"594 S Reilly Rd",1,1,N/A
2178953,"November 29, 2021","South Dakota",Watertown,N/A,1,0,N/A
2178333,"November 29, 2021",Arizona,Tucson,"1800 W Valencia Rd",1,0,N/A
2177875,"November 29, 2021",Virginia,Richmond,"3207 Chamberlayne Ave",1,0,N/A
2178416,"November 29, 2021",California,"Los Angeles","7000 block Huston St",1,0,N/A
2177578,"November 29, 2021",Louisiana,"Baton Rouge","4400 block of Gus Young Ave",1,0,N/A
2177826,"November 29, 2021",Vermont,"Morrisville (Elmore)","613 King Road",2,0,N/A
2178365,"November 29, 2021",Florida,"Panama City","1600 block of Cincinnati Ave",1,0,N/A
2177708,"November 29, 2021",Pennsylvania,Philadelphia,"100 block of W Wyoming Ave",1,0,N/A
2177873,"November 29, 2021",Kansas,Wichita,"4300 block of Bernita St",1,0,N/A
2178761,"November 29, 2021",California,"Moss Landing","800 Dolan Rd",2,0,N/A
2208254,"November 29, 2021",Nevada,"Las Vegas","2800 block of Alcoa Ave",1,0,N/A
2178608,"November 29, 2021",Georgia,Thomson,"1200 block of Dallas Dr",1,0,N/A
2178848,"November 29, 2021",California,"Long Beach","600 block of Martin Luther King Jr. Ave",1,0,N/A
2177598,"November 29, 2021",Alabama,Montgomery,"3700 block of Seaton Blvd",1,0,N/A
2178341,"November 29, 2021",Florida,Jacksonville,"5200 block of Johnson Lake Ct",1,1,N/A
2177750,"November 29, 2021",Texas,Houston,"12411 Antoine Dr",1,0,N/A
2179409,"November 29, 2021",Texas,Dallas,"8008 Military Pkwy",1,0,N/A
2177925,"November 29, 2021",Alabama,Pansey,"Billy Cherry Rd",1,0,N/A
2177543,"November 29, 2021",Florida,Quincy,"64 N Cleveland St",1,0,N/A
2221141,"November 29, 2021",Texas,"Fort Worth","3300 block of Las Vegas Trl",1,0,N/A
2181102,"November 29, 2021",Ohio,Cleveland,"969 E 152nd St",1,0,N/A
2177458,"November 29, 2021",Florida,Orlando,"4963 Raleigh St",1,0,N/A
2177641,"November 29, 2021",Texas,Arlington,"1600 block of Nandina Dr",1,0,N/A
2178659,"November 29, 2021",Texas,Houston,"7255 Ave N",1,0,N/A
2177410,"November 29, 2021",Florida,Jacksonville,"100 block of W 21st St",1,0,N/A
2177408,"November 29, 2021",Illinois,Chicago,"1800 block of W 46th St",1,0,N/A
2177840,"November 29, 2021","South Dakota","Rapid City","Marquette Dr",1,2,N/A
2179374,"November 29, 2021","New Jersey",Trenton,"1411 Parkside Ave",1,0,N/A
2177923,"November 29, 2021",Virginia,"Henrico (Highland Springs)","100 block of S Oak Ave",1,0,N/A
2176943,"November 28, 2021",Texas,Dallas,"621 N Hall St",1,0,N/A
2179204,"November 28, 2021",Missouri,"Saint Joseph","2121 S Riverside Rd",1,0,N/A
2178677,"November 28, 2021",Massachusetts,Springfield,"100 block of E Alvord St",2,0,N/A
2177900,"November 28, 2021",Virginia,Greenbush,"21000 block of Adams Rd",1,0,N/A
2177605,"November 28, 2021",Alabama,Mobile,"Dr Martin Luther King Blvd and Cemetery Ln",1,2,N/A
2176861,"November 28, 2021",Alabama,Birmingham,"100 3rd Ave N",1,0,N/A
2176790,"November 28, 2021",Texas,Austin,"4700 block of Cypress Bend",1,0,N/A
2177529,"November 28, 2021",Indiana,Culver,"1105 N Lake Shore Dr",1,0,N/A
2177880,"November 28, 2021",Virginia,Suffolk,"1100 block of Cogic Square",1,1,N/A
2177348,"November 28, 2021",Minnesota,"Saint Paul (Mounds View)","2577 Mounds View Blvd",1,0,N/A
2176840,"November 28, 2021",Indiana,Evansville,"1000 block of W Iowa St",2,0,N/A
2261425,"November 28, 2021",California,"Los Angeles","W 19th St and S Pacific Ave",1,0,N/A
2177044,"November 28, 2021",Pennsylvania,Philadelphia,"2252 N Park Ave",1,0,N/A
2177738,"November 28, 2021","New Jersey",Camden,"1058 Louis St",1,0,N/A
2177171,"November 28, 2021",Ohio,Columbus,"1530 E 25th Ave",1,0,N/A
2177014,"November 28, 2021",Virginia,Richmond,"2400 Northumberland Ave",1,1,N/A
2177322,"November 28, 2021",Mississippi,"Long Beach","Via Don Ray Rd",1,0,N/A
2177651,"November 28, 2021",Texas,"Fort Worth","100 block of N Lamar St",1,0,N/A
2176937,"November 28, 2021",Kentucky,Hopkinsville,"E 8th St and Virginia St",1,2,N/A
2177230,"November 28, 2021",Pennsylvania,Philadelphia,"400 block of W Diamond St",1,0,N/A
2177031,"November 28, 2021","North Carolina",Charlotte,"1700 block of Harland St",1,2,N/A
2176988,"November 28, 2021",Minnesota,"Forest Lake","7000 block of N Shore Trail",1,0,N/A
2176967,"November 28, 2021",Wisconsin,Madison,"4112 Milwaukee St",1,0,N/A
2177725,"November 28, 2021","North Carolina","Winston Salem (Winston-salem)","4700 block of Bell West Dr",1,0,N/A
2178647,"November 28, 2021",Georgia,Dawsonville,"455 Sams Rd",2,0,N/A
2184400,"November 28, 2021",Missouri,"Kansas City","4100 block of Montgall Ave",1,0,N/A
2176941,"November 28, 2021",Maryland,Baltimore,"2800 block of Garrison Blvd",1,0,N/A
2177292,"November 28, 2021",California,Oakland,"600 block of Grand Ave",1,0,N/A
2177252,"November 28, 2021",Massachusetts,Seekonk,"US-6 and School St",1,0,N/A
2177300,"November 28, 2021",Illinois,Evanston,"1950 Green Bay Rd",1,4,N/A
2261430,"November 28, 2021",California,Sylmar,"12634 Amboy Ave",1,0,N/A
2177511,"November 28, 2021",Delaware,Wilmington,"1300 block of Elm St",1,0,N/A
2176857,"November 28, 2021",Georgia,Hinesville,"601 Saunders Ave",1,0,N/A
2176919,"November 28, 2021",Maryland,"Glen Burnie","1400 block of Braden Loop",1,0,N/A
2178661,"November 28, 2021",California,Corcoran,"1700 Dairy Ave",1,0,N/A
2176809,"November 28, 2021",Indiana,"Fort Wayne","7915 Decatur Rd",1,0,N/A
2179363,"November 28, 2021",Louisiana,Wildsville,"277 Luttrull Rd",1,0,N/A
2177367,"November 28, 2021",Wisconsin,Madison,"4600 block of Secret Gardens Dr",1,0,N/A
2177264,"November 28, 2021","New York",Brooklyn,"723 Halsey St",1,0,N/A
2176877,"November 28, 2021",California,"Los Angeles","Roseview Ave and Cypress Ave",1,0,N/A
2179629,"November 28, 2021",Texas,Burleson,"11801 South Fwy",1,0,N/A
2176891,"November 28, 2021",Colorado,Conifer,"11000 block of Cochise Cir",1,0,N/A
2177416,"November 28, 2021",California,Lancaster,"3500 block of Garnet Lane",5,0,N/A
2177234,"November 28, 2021",Alabama,Bessemer,"800 block of 22nd St N",2,0,N/A
2178444,"November 28, 2021",California,Orange,"2000 block of East Fairway Dr",1,0,N/A
2177573,"November 28, 2021",Indiana,Goshen,"200 block of N Harrison Ave",1,0,N/A
2179058,"November 28, 2021",Indiana,Converse,"100 block of W Wabash St",1,0,N/A
2176797,"November 28, 2021",Florida,Lakeland,"I-4 and Kathleen Rd",1,0,N/A
2176762,"November 28, 2021",Florida,"Coral Gables","100 block of Calabria Ave",1,0,N/A
2177316,"November 28, 2021",Illinois,Chicago,"8700 block of S Saginaw Ave",1,0,N/A
2178051,"November 28, 2021",Texas,"San Marcos","1415 Craddock Ave",1,0,N/A
2206180,"November 28, 2021",Arizona,Glendale,"4810 W Glendale Ave",1,0,N/A
2178250,"November 28, 2021",Oregon,Portland,"424 NE 172nd Ave",1,0,N/A
2190719,"November 28, 2021",Pennsylvania,Chambersburg,"3107 Sundown Dr",2,0,N/A
2180460,"November 28, 2021",Montana,Conner,N/A,1,0,N/A
