"Incident ID","Incident Date",State,"City Or County",Address,"# Killed","# Injured",Operations
2133560,"September 30, 2021","North Carolina",Burlington,"7102 Shoe Rd",1,0,N/A
2129670,"September 30, 2021","North Carolina",Fayetteville,"500 block of Coronation Dr",1,0,N/A
2129500,"September 30, 2021",Pennsylvania,Philadelphia,"1500 block of W Lehigh Ave",1,3,N/A
2129236,"September 30, 2021",Louisiana,Opelousas,"943 Creswell Ln",1,1,N/A
2130004,"September 30, 2021",Michigan,Saginaw,"332 N 21 St",2,0,N/A
2130279,"September 30, 2021",California,Oxnard,"1000 block of Hull Place",1,0,N/A
2129488,"September 30, 2021","New York",Hamburg,"4701 Southwestern Blvd",2,0,N/A
2129375,"September 30, 2021","New York",Brooklyn,"1593 Prospect Pl",1,0,N/A
2129437,"September 30, 2021",Maryland,Elkton,"50 block of Willow Ct",1,0,N/A
2129369,"September 30, 2021",Nebraska,Omaha,"6118 Pratt St",1,0,N/A
2129611,"September 30, 2021",Pennsylvania,Philadelphia,"1901 W Hunting Park Ave",1,1,N/A
2130204,"September 30, 2021",Michigan,Niles,"1950 S 13th St",1,0,N/A
2136083,"September 30, 2021",Illinois,"East Moline","1500 block of 8th Ave",1,0,N/A
2130363,"September 30, 2021",Kansas,Wichita,"9400 E Corporate Hills Dr",1,0,N/A
2129410,"September 30, 2021",Maryland,"Ellicott City","5300 block of Kerger Rd",2,0,N/A
2129597,"September 30, 2021",Texas,"San Antonio","8004 Bentley Dr",1,2,N/A
2129161,"September 30, 2021",Texas,"San Antonio","13794 Potranco Rd",1,0,N/A
2129515,"September 30, 2021",Pennsylvania,Philadelphia,"5800 Trinity St",1,0,N/A
2129508,"September 30, 2021",Louisiana,"New Orleans","Ursulines Ave and N Galvez St",1,0,N/A
2129989,"September 30, 2021",Texas,Arlington,"1101 Stonetrail Cir",1,0,N/A
2129684,"September 30, 2021","South Carolina",Florence,"Carver St",2,0,N/A
2129209,"September 30, 2021",Tennessee,Memphis,"2898 S Perkins Rd",1,0,N/A
2131278,"September 30, 2021",Illinois,Chicago,"13700 block of S Leyden Ave",1,1,N/A
2130942,"September 30, 2021","North Carolina",Clayton,"Crawford Pkwy",1,0,N/A
2129929,"September 30, 2021","New York",Newburgh,"144 N Miller St",1,0,N/A
2139736,"September 30, 2021",Ohio,Lorain,"4100 block of Pearl Ave",1,0,N/A
2129865,"September 30, 2021",Florida,Tampa,"3400 block of E Osborne Ave",1,2,N/A
2129845,"September 30, 2021","New York",Buffalo,"Norfolk Ave",1,0,N/A
2129848,"September 30, 2021",Arizona,Mesa,"S Signal Butte Rd and E Broadway Rd",2,0,N/A
2129539,"September 30, 2021",Florida,"Saint Augustine (St Augustine)","215 Anastasia Blvd",1,0,N/A
2132935,"September 30, 2021",Texas,Mesquite,"I-30 and N Westmoreland Rd",1,0,N/A
2129530,"September 30, 2021",Texas,Lubbock,"2435 E 30th St",1,0,N/A
2130453,"September 30, 2021",Mississippi,Oxford,"400 block of Saddle Creek Dr",1,0,N/A
